user_type,degree,year,month,day,post_size,change_size,class_suspect
kayıtlı,bot,11,5,0,611698,12,?
kayıtlı,bürokrat|hizmetli,0,13,0,1175,38,False
kayıtlı,bot,0,4,0,167872,1,False
kayıtlı,devriye,0,8,0,13293,1,False
kayıtlı,beyaz liste,1,2,0,100,1,False
kayıtlı,bot,11,5,0,611698,-163,False
kayıtlı,devriye,0,8,0,13293,5848,False
kayıtlı,devriye,0,6,0,749585,-1,False
kayıtlı,devriye,0,6,0,749585,15,False
kayıtlı,hizmetli,14,2,0,40976,-2,False
kayıtlı,hizmetli,14,2,0,40976,0,False
kayıtlı,hizmetli,14,2,0,40976,0,False
kayıtlı,bot,11,5,0,611698,1,False
kayıtlı,devriye,10,1,0,85368,0,False
kayıtlı,bürokrat|hizmetli,0,13,0,1175,-4,False
kayıtlı,devriye,8,2,0,40026,100,False
kayıtlı,beyaz liste|bot,13,8,0,43560,-105,False
kayıtlı,bürokrat|hizmetli,0,13,0,1175,6,False
kayıtlı,bürokrat|hizmetli,0,13,0,1175,22,False
kayıtlı,devriye,0,6,0,749585,-9,False
kayıtlı,devriye,0,6,0,749585,-11,False
kayıtlı,devriye,0,6,0,749585,0,False
kayıtlı,bürokrat|hizmetli,0,13,0,1175,-3,False
kayıtlı,bürokrat|hizmetli,0,13,0,1175,-1,False
kayıtlı,bot,1,9,0,6518,-20,False
kayıtlı,devriye,0,6,0,749585,-142,False
kayıtlı,devriye,10,7,0,45073,1,False
kayıtlı,null,3,10,0,66,0,False
kayıtlı,beyaz liste,4,3,0,247,1,False
kayıtlı,beyaz liste,10,2,0,58408,66,False
kayıtlı,beyaz liste,10,2,0,58408,-66,False
kayıtlı,beyaz liste,10,2,0,58408,66,False
kayıtlı,devriye,0,6,0,749585,-20,False
kayıtlı,devriye,10,1,0,85368,-32,False
kayıtlı,devriye,10,7,0,45073,44,False
kayıtlı,bürokrat|hizmetli,0,13,0,1175,-45,False
kayıtlı,bot,10,2,0,577959,179,False
kayıtlı,bot,10,2,0,577959,27130,False
kayıtlı,devriye,10,7,0,45073,0,False
kayıtlı,devriye,10,7,0,45073,194,False
kayıtlı,devriye,13,3,0,2704,11,False
kayıtlı,devriye,13,3,0,2704,-16,False
kayıtlı,devriye,13,3,0,2704,17,False
kayıtlı,bot,10,2,0,577959,-90,False
kayıtlı,devriye,10,8,0,27927,-295,False
kayıtlı,devriye,7,1,0,16171,5,False
kayıtlı,devriye,7,1,0,16171,-5,False
kayıtlı,devriye,7,1,0,16171,24,False
