SemonyZ (sayfa mevcut deðil)|3 gün|7 deðiþikliðe sahip|-4|?
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|-17|False
Zeki Mert Kuku|beyaz liste|5 yýl 10 ay|437 deðiþikliðe sahip|17|True
Busrakra (sayfa mevcut deðil)|4 ay|4 deðiþikliðe sahip|0|False
Brcan|beyaz liste|1 ay|3,402 deðiþikliðe sahip|-10|False
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|-1|False
Nanahuatl|toplu ileti gönderici|devriye|11 yýl|433,429 deðiþikliðe sahip|-30|False
ToprakBot|bot|2 yýl 9 ay|17,684 deðiþikliðe sahip|3|False
InternetArchiveBot|bot|4 ay|167,872 deðiþikliðe sahip|825|False
Khutuck Bot|bot|11 yýl 5 ay|611,698 deðiþikliðe sahip|3|False
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|0|False
Teacher0691|devriye|6 yýl|749,585 deðiþikliðe sahip|0|False
Teacher0691|devriye|6 yýl|749,585 deðiþikliðe sahip|0|False
Teacher0691|devriye|6 yýl|749,585 deðiþikliðe sahip|0|False
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|-4|False
Thecatcherintherye|devriye|13 yýl 5 ay|27,424 deðiþikliðe sahip|102|False
By erdo can|toplu ileti gönderici|devriye|4 yýl 5 ay|145,802 deðiþikliðe sahip|1|False
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|10|False
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|5|False
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|12|False
II. Niveles|engellenmiþ|3 yýl 11 ay|29,777 deðiþikliðe sahip|-97|False
Mc yaralýý martý (sayfa mevcut deðil)|3 yýl 9 ay|6 deðiþikliðe sahip|97|True
Katkýlar/220.148.12.196|36|False
Katkýlar/68.100.166.209|16|False
Kibele|devriye|14 yýl|122,286 deðiþikliðe sahip|-31|False
Katkýlar/68.100.166.209|31|False
YBot|bot|10 yýl 2 ay|577,959 deðiþikliðe sahip|2646|False
Sakhalinio|editor|hizmetli|13 yýl 1 ay|122,500 deðiþikliðe sahip|-4|False
Dünya vatandaþý|beyaz liste|14 yýl 1 ay|258,828 deðiþikliðe sahip|-2|False
YBot|bot|10 yýl 2 ay|577,959 deðiþikliðe sahip|-106|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|99|False
Addbot|bot|7 yýl 3 ay|205,347 deðiþikliðe sahip|-1234|False
MerlIwBot|bot|9 yýl 2 ay|155,670 deðiþikliðe sahip|23|False
Khutuck Bot|bot|11 yýl 5 ay|611,698 deðiþikliðe sahip|-42|False
Khutuck Bot|bot|11 yýl 5 ay|611,698 deðiþikliðe sahip|15|False
Khutuck Bot|bot|11 yýl 5 ay|611,698 deðiþikliðe sahip|15|False
Khutuck Bot|bot|11 yýl 5 ay|611,698 deðiþikliðe sahip|15|False
Khutuck Bot|bot|11 yýl 5 ay|611,698 deðiþikliðe sahip|15|False
