SemonyZ (sayfa mevcut deðil)|1 gün|7 deðiþikliðe sahip|1 gün önce yaptý
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,354 deðiþikliðe sahip|5 gün önce yaptý
Zeki Mert Kuku|beyaz liste|5 yýl 10 ay|437 deðiþikliðe sahip|5 gün önce yaptý
Busrakra (sayfa mevcut deðil)|4 ay|4 deðiþikliðe sahip|5 gün önce yaptý
Brcan|beyaz liste|1 ay|3,121 deðiþikliðe sahip|10 saat önce yaptý
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|3 gün önce yaptý
Nanahuatl|toplu ileti gönderici|devriye|11 yýl|433,206 deðiþikliðe sahip|6 saat önce yaptý
ToprakBot|bot|2 yýl 9 ay|17,468 deðiþikliðe sahip|2 gün önce yaptý
InternetArchiveBot|bot|4 ay|167,868 deðiþikliðe sahip|14 saat önce yaptý
Khutuck Bot|bot|11 yýl 5 ay|606,862 deðiþikliðe sahip|7 saat önce yaptý
Teacher0691|devriye|6 yýl|746,569 deðiþikliðe sahip|15 saat önce yaptý
Thecatcherintherye|devriye|13 yýl 5 ay|27,403 deðiþikliðe sahip|21 saat önce yaptý
By erdo can|toplu ileti gönderici|devriye|4 yýl 5 ay|145,802 deðiþikliðe sahip|5 saat önce yaptý
II. Niveles|engellenmiþ|3 yýl 11 ay|29,777 deðiþikliðe sahip|2 yýl 9 ay önce yaptý
Mc yaralýý martý (sayfa mevcut deðil)|3 yýl 9 ay|6 deðiþikliðe sahip|3 yýl 9 ay önce yaptý
Katkýlar/220.148.12.196|
Katkýlar/68.100.166.209|
Kibele|devriye|14 yýl|122,286 deðiþikliðe sahip|1 hafta önce yaptý
YBot|bot|10 yýl 1 ay|577,879 deðiþikliðe sahip|23 dakika önce yaptý
Sakhalinio|editor|hizmetli|13 yýl 1 ay|122,410 deðiþikliðe sahip|17 saat önce yaptý
Dünya vatandaþý|beyaz liste|14 yýl 1 ay|258,828 deðiþikliðe sahip|4 yýl 11 ay önce yaptý
Addbot|bot|7 yýl 3 ay|205,347 deðiþikliðe sahip|6 yýl 9 ay önce yaptý
MerlIwBot|bot|9 yýl 2 ay|155,670 deðiþikliðe sahip|6 yýl 9 ay önce yaptý
Peykbot|bot|7 yýl 9 ay|461,643 deðiþikliðe sahip|3 yýl 1 ay önce yaptý
Katkýlar/94.225.15.56|
Katkýlar/94.225.15.5|
KumulBot|bot|9 yýl 9 ay|286,376 deðiþikliðe sahip|4 yýl 8 ay önce yaptý
RedBot|bot|10 yýl 9 ay|27,366 deðiþikliðe sahip|7 yýl 9 ay önce yaptý
Xqbot|bot|11 yýl 4 ay|181,006 deðiþikliðe sahip|14 saat önce yaptý
AvocatoBot|bot|8 yýl 7 ay|6,495 deðiþikliðe sahip|7 yýl 3 ay önce yaptý
