user_type,degree,year,month,day,post_size,change_size,class_suspect
1,3,6,0,0,750737,48,False
1,8,11,10,0,163652,-19,False
0,1,0,0,0,0,19,True
1,8,13,0,0,1175,-4,False
1,3,8,2,0,23511,-35,False
0,1,0,0,0,0,35,False
1,1,0,4,0,348,-189,False
1,3,8,7,0,50327,2,False
0,1,0,0,0,0,-2,False
1,2,11,5,0,611752,-8,False
1,8,11,10,0,163652,-1269,False
0,1,0,0,0,0,1269,False
1,3,8,2,0,23511,-4,False
0,1,0,0,0,0,4,False
1,3,0,4,0,355,-29,False
1,3,13,3,0,14229,3,False
1,3,6,0,0,750737,4,False
1,3,13,3,0,14229,0,False
1,2,0,4,0,167872,18,False
1,2,2,9,0,17822,0,False
1,3,0,4,0,163,36,False
1,8,11,10,0,163652,4,False
1,1,4,11,0,526,-4,True
1,2,2,9,0,17822,0,False
1,1,0,4,0,13,62,False
1,1,0,4,0,13,25,False
1,1,0,4,0,13,0,False
0,1,0,0,0,0,-1,True
1,3,9,3,0,37025,0,False
1,3,8,7,0,50327,-2,False
0,1,0,0,0,0,2,False
1,3,10,1,0,85386,1,False
1,5,1,7,0,20983,1,False
0,1,0,0,0,0,-1,True
1,2,11,5,0,611752,-3,False
1,5,13,8,0,43588,-113,False
0,1,0,0,0,0,50,False
1,3,13,2,0,12434,-479,False
1,1,1,0,0,3,479,False
0,1,0,0,0,0,8,False
1,8,13,0,0,1175,14,False
1,8,13,0,0,1175,9,False
0,1,0,0,0,0,-9,False
1,8,13,0,0,1175,-2,False
1,8,13,0,0,1175,18,False
0,1,0,0,0,0,37,False
1,3,6,0,0,750737,5,False
1,3,6,0,0,750737,25,False
1,3,6,0,0,750737,2,False
1,3,9,3,0,37025,0,False
1,3,9,3,0,37025,0,False
1,3,9,3,0,37025,70,False
1,3,3,10,0,167486,0,False
1,3,3,10,0,167486,11,False
1,3,3,10,0,167486,-8,False
1,6,11,4,0,32654,131,False
1,6,11,4,0,32654,0,False
1,6,11,4,0,32654,0,False
1,6,11,4,0,32654,-2,False
1,6,11,4,0,32654,8,False
1,8,13,0,0,1175,1,False
0,1,0,0,0,0,1,False
0,1,0,0,0,0,1,False
1,3,9,3,0,37025,-6,False
1,8,13,0,0,1175,-6,False
1,8,13,0,0,1175,111,False
1,3,3,10,0,167486,-269,False
1,8,11,10,0,163652,0,False
0,1,0,0,0,0,0,True
1,3,6,0,0,750737,10,False
1,3,8,7,0,50327,0,False
0,1,0,0,0,0,0,False
1,3,6,0,0,750737,36,False
1,6,4,5,0,145802,-24,False
1,3,6,0,0,750737,-1,False
1,1,3,7,0,28,24,False
1,3,9,3,0,37025,-9,False
1,3,6,0,0,750737,-16,False
1,3,13,5,0,27439,1,False
1,3,6,0,0,750737,42,False
1,8,11,10,0,163652,56,False
0,1,0,0,0,0,-56,True
1,2,5,2,0,135545,-15,False
1,2,5,2,0,135545,-15,False
1,3,13,7,0,34314,-26,False
1,3,3,4,0,156,26,False
1,8,11,10,0,163652,-9,False
0,1,0,0,0,0,9,False
1,3,9,2,0,7804,-133,False
0,1,0,0,0,0,133,True
1,8,11,10,0,163652,-121,False
1,1,3,2,0,2,92,True
1,1,3,2,0,2,29,False
1,1,3,3,0,8,94,False
1,1,3,3,0,8,-1,False
1,8,11,10,0,163652,-214,False
0,1,0,0,0,0,214,False
1,3,9,3,0,37025,122,False
1,3,9,3,0,37025,210,False
1,3,9,3,0,37025,-219,False
1,5,13,8,0,43588,0,False
1,1,3,4,0,4,-1,False
1,1,3,4,0,4,2,False
1,1,3,4,0,4,6,False
1,1,3,4,0,4,0,False
0,1,0,0,0,0,6,False
0,1,0,0,0,0,0,False
1,1,3,5,0,11,206,False
0,1,0,0,0,0,1,False
0,1,0,0,0,0,1,False
1,8,11,10,0,163652,210,False
0,1,0,0,0,0,-210,False
1,3,7,10,0,18201,-62,False
0,1,0,0,0,0,62,False
1,8,11,10,0,163652,-132,False
0,1,0,0,0,0,132,False
1,8,11,10,0,163652,-22,False
0,1,0,0,0,0,0,True
0,1,0,0,0,0,22,False
1,3,8,7,0,50327,-10,False
0,1,0,0,0,0,10,False
1,11,4,3,0,22447,1,False
1,0,4,2,0,7730,-14,False
0,1,0,0,0,0,14,True
1,3,9,4,0,2078,-47,False
0,1,0,0,0,0,47,False
1,8,11,10,0,163652,3,False
0,1,0,0,0,0,-3,False
1,3,9,3,0,37025,-11,False
1,1,3,8,0,13,0,False
1,8,11,10,0,163652,15,False
0,1,0,0,0,0,-15,True
1,8,13,1,0,122564,39,False
1,1,4,5,0,59,-17,False
1,1,4,5,0,59,1,False
1,1,4,5,0,59,-23,False
0,1,0,0,0,0,1,False
0,1,0,0,0,0,-2,False
1,10,4,0,0,4474,242,False
1,3,5,10,0,89,52,False
0,1,0,0,0,0,40,False
1,8,11,10,0,163652,1,False
0,1,0,0,0,0,-1,True
1,3,4,1,0,72,8,False
1,3,8,2,0,23511,-30,False
0,1,0,0,0,0,30,False
1,8,11,10,0,163652,-1,False
0,1,0,0,0,0,1,True
1,3,11,10,0,53986,-14,False
1,8,11,10,0,163652,0,False
0,1,0,0,0,0,0,True
1,3,9,3,0,37025,0,False
0,1,0,0,0,0,0,False
0,1,0,0,0,0,0,False
1,8,11,10,0,163652,4,False
1,1,4,1,0,23,-4,True
0,1,0,0,0,0,-3,False
1,3,8,2,0,23511,-61,False
1,1,4,0,0,2,55,False
1,1,4,0,0,2,6,False
1,0,8,0,0,1390,0,False
0,1,0,0,0,0,0,False
1,3,9,3,0,37025,13,False
1,3,9,3,0,37025,-858,False
1,3,7,4,0,399,384,False
0,1,0,0,0,0,-384,False
1,0,8,0,0,1390,43,False
0,1,0,0,0,0,-43,False
1,3,5,7,0,13139,2,False
0,1,0,0,0,0,-2,True
1,8,11,10,0,163652,-82,False
1,1,4,1,0,4,1,False
0,1,0,0,0,0,81,False
1,0,3,11,0,29777,0,False
0,1,0,0,0,0,0,True
0,1,0,0,0,0,0,False
1,3,9,3,0,37025,-1,False
1,1,4,1,0,23,-2,False
1,1,4,1,0,23,-9,False
1,3,9,3,0,37025,88,False
0,1,0,0,0,0,0,False
0,1,0,0,0,0,0,True
1,1,4,11,0,15,-88,False
1,8,13,0,0,1175,-47,False
0,1,0,0,0,0,-1,False
0,1,0,0,0,0,14,False
0,1,0,0,0,0,11,False
0,1,0,0,0,0,0,False
1,8,11,10,0,163652,4,False
0,1,0,0,0,0,-4,True
1,3,13,2,0,12432,0,False
0,1,0,0,0,0,4,False
0,1,0,0,0,0,4,False
0,1,0,0,0,0,4,False
1,3,13,2,0,12432,-1,False
0,1,0,0,0,0,1,False
1,1,5,10,0,3623,0,False
0,1,0,0,0,0,0,False
0,1,0,0,0,0,4,False
1,8,11,10,0,163652,-5,False
0,1,0,0,0,0,5,False
1,8,11,10,0,163652,-1,False
0,1,0,0,0,0,1,False
1,3,0,0,0,55421,8,False
1,3,14,0,0,3754,9,False
1,3,12,7,0,56735,179,False
0,1,0,0,0,0,-179,True
1,8,11,10,0,163652,0,False
0,1,0,0,0,0,0,True
1,3,9,3,0,37025,0,False
0,1,0,0,0,0,-1,False
1,8,13,0,0,1175,-1,False
1,3,9,3,0,37025,0,False
1,3,9,3,0,37025,-1,False
1,3,9,3,0,37025,-49,False
1,0,5,9,0,4462,54,False
1,8,11,10,0,163652,-45,False
0,1,0,0,0,0,45,True
1,3,9,3,0,37025,-54,False
0,1,0,0,0,0,-15,False
0,1,0,0,0,0,15,False
1,2,10,2,0,578034,194,False
1,3,9,3,0,37025,192,False
1,3,9,3,0,37025,-30,False
1,8,11,10,0,163652,-1,False
1,1,4,5,0,3,-199,True
1,1,4,5,0,3,-86,False
1,1,4,5,0,3,286,False
1,8,13,0,0,1175,-7,False
0,1,0,0,0,0,7,True
1,8,11,10,0,163652,-162,False
0,1,0,0,0,0,162,True
1,3,4,11,0,1714,1,False
1,1,4,5,0,5,-1,False
1,1,4,10,0,3,1,False
1,3,4,7,0,5383,77,False
0,1,0,0,0,0,-77,True
1,6,11,4,0,32654,-33,False
0,1,0,0,0,0,33,False
1,3,11,7,0,1094,-11,False
1,8,11,10,0,163652,56,False
0,1,0,0,0,0,-56,True
1,8,11,10,0,163652,-152,False
0,1,0,0,0,0,152,True
1,8,11,10,0,163652,-1,False
1,1,4,6,0,7,1,True
1,3,11,1,0,40296,-52,False
0,1,0,0,0,0,52,False
1,3,5,1,0,2251,62,False
1,1,4,7,0,3,5,False
1,1,4,7,0,3,4,False
1,3,8,2,0,23511,22,False
0,1,0,0,0,0,-22,False
0,1,0,0,0,0,-1,False
1,3,6,0,0,1711,4,False
1,3,8,2,0,23511,-14,False
0,1,0,0,0,0,14,False
1,3,5,0,0,101,1,False
1,3,5,0,0,101,343,False
1,3,6,4,0,1410,-188,False
1,1,5,2,0,71,188,True
1,8,11,10,0,163652,-187,False
1,1,5,2,0,71,1,True
1,1,5,2,0,71,110,False
1,1,5,2,0,71,-18,False
1,1,5,2,0,71,-18,False
1,1,5,2,0,71,112,False
