user_type,degree,year,month,day,post_size,change_size,class_suspect
1,3,6,0,0,749585,210,False
1,3,1,2,0,7828,1,False
1,3,6,8,0,11140,53,False
1,11,4,3,0,22412,2,False
1,3,8,7,0,50327,-1,False
0,1,0,0,0,0,1,True
1,1,0,2,0,49,-6,False
1,6,0,2,0,5232,-16,False
0,1,0,0,0,0,16,False
1,8,13,0,0,1175,-8,False
1,10,4,0,0,4474,-6255,False
1,10,4,0,0,4474,-751,False
1,10,4,0,0,4474,-46,False
1,4,14,2,0,40977,-156,False
1,3,6,0,0,749585,-284,False
1,3,3,1,0,1246,-6,False
0,1,0,0,0,0,6,False
1,8,13,0,0,1175,-64,False
1,8,13,0,0,1175,-28,False
1,8,13,0,0,1175,-4,False
1,6,10,3,0,28397,-1006,False
1,6,10,3,0,28397,1,False
1,10,4,0,0,4474,-61,False
1,2,2,9,0,17822,-1,False
0,1,0,0,0,0,-10,False
1,3,11,1,0,40266,-37,False
1,3,11,1,0,40266,25,False
1,3,11,1,0,40266,-260,False
1,3,11,1,0,40266,-268,False
1,3,11,1,0,40266,40,False
1,3,11,1,0,40266,-53,False
0,1,0,0,0,0,32,False
0,1,0,0,0,0,21,False
1,2,2,9,0,17822,1,False
1,3,8,2,0,23509,36,False
0,1,0,0,0,0,-40,False
0,1,0,0,0,0,4,False
1,3,7,10,0,206,33,False
1,3,7,10,0,206,-35,False
1,3,0,8,0,13361,142,False
1,2,2,9,0,17822,2,False
1,2,2,9,0,17822,1,False
1,3,8,2,0,23509,-10,False
1,3,8,2,0,23509,4,False
0,1,0,0,0,0,4,False
0,1,0,0,0,0,-5,False
0,1,0,0,0,0,2,False
0,1,0,0,0,0,-6,False
0,1,0,0,0,0,1,False
1,3,8,9,0,2813,1,False
0,1,0,0,0,0,-1,False
1,3,4,8,0,22808,-41,False
1,1,0,4,0,11,41,True
1,6,11,0,0,433436,-53,False
1,1,3,10,0,16,53,False
1,3,14,0,0,122286,-17,False
1,5,1,7,0,20948,75,False
0,1,0,0,0,0,-75,True
1,3,6,0,0,749585,16,False
1,3,9,3,0,37009,2,False
1,3,9,3,0,37009,0,False
1,1,1,6,0,360,-44,False
0,1,0,0,0,0,44,True
1,3,2,8,0,56875,-5,False
0,1,0,0,0,0,0,False
0,1,0,0,0,0,5,False
1,1,1,6,0,360,-2,False
1,1,1,6,0,360,-5,False
1,1,1,6,0,360,1,False
1,1,1,6,0,360,-10,False
1,3,6,0,0,749585,-82,False
0,1,0,0,0,0,-7,False
0,1,0,0,0,0,3,False
1,1,6,1,0,195,-14,False
1,1,6,1,0,195,-7,False
1,1,6,1,0,195,4,False
1,3,6,0,0,749585,8,False
1,6,6,0,0,65831,-3,False
1,6,6,0,0,65831,151,False
1,3,6,0,0,749585,-2,False
1,8,13,0,0,1175,34,False
1,8,13,0,0,1175,39,False
